step,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,0.9811320754716981,0.7818181818181819,0.6666666666666666,0.07,0.7538461538461538,0.3263157894736842,0.0,0.0,0.0,0.35537190082644626,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9387755102040817,0.1282051282051282,0.009259259259259259,0.0,0.0,0.625,0.009009009009009009,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.02912621359223301,0.8484848484848485,0.0,0.0,0.6956521739130435,0.02040816326530612,0.7130434782608696,0.3875,0.48484848484848486,0.0,0.05,0.04672897196261682,0.0,0.21739130434782608,0.0,0.5520833333333334,0.4864864864864865,0.0,0.13541666666666666,0.0,0.009900990099009901,0.24,0.07079646017699115,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.102803738317757,0.1111111111111111,0.0,0.0,0.3076923076923077,0.0,0.367816091954023,0.1595744680851064,0.56,0.0,0.07142857142857142,0.03260869565217391,0.0,0.39361702127659576,0.0,0.4180327868852459,0.3368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.46017699115044247,0.9263157894736842,0.8837209302325582,0.5943396226415094,0.8080808080808081,0.5217391304347826,0.0,0.0,0.0,0.5806451612903226,0.0,0.1326530612244898,0.0,0.0,0.9705882352941176,0.0,0.0,0.0,0.0,0.07954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.018691588785046728,0.12359550561797752,0.0,0.0,0.0,0.0,0.22115384615384615,0.0,0.0989010989010989,0.6455696202531646,0.0,0.28846153846153844,0.5913978494623656,0.1262135922330097,0.41836734693877553,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.27472527472527475,0.0,0.0,0.6597938144329897,0.0,0.010752688172043012,0.010752688172043012,0.03773584905660377,0.6923076923076923,0.0,0.0,0.0,0.0,0.5591397849462365,0.0,0.03773584905660377,0.37362637362637363,0.02702702702702703,0.45263157894736844,0.2127659574468085,0.01904761904761905,0.36363636363636365,0.0,0.20353982300884957,0.010309278350515464,0.02040816326530612,0.0,0.0,0.008771929824561403,0.011363636363636364,0.6727272727272727,0.01904761904761905,0.0,0.24545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.9897959183673469,0.8072289156626506,0.6847826086956522,0.5961538461538461,0.9651162790697675,0.4722222222222222,0.0,0.0,0.0,0.49137931034482757,0.0,0.5428571428571428,0.0,0.0,0.7978723404255319,0.0380952380952381,0.0,0.017857142857142856,0.0,0.047619047619047616,0.010752688172043012,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.9918032786885246,0.17525773195876287,0.07317073170731707,0.0,0.0,0.11538461538461539,0.0,0.028037383177570093,0.0,0.0,0.14432989690721648,0.0,0.4,0.02586206896551724,0.014925373134328358,0.5164835164835165,0.07317073170731707,0.37894736842105264,0.17708333333333334,0.06796116504854369,0.635593220338983,0.6813186813186813,0.020833333333333332,0.0,0.0,0.09401709401709402,0.0,0.0,0.0,0.0,0.6238532110091743,0.0,0.022988505747126436,0.0,0.0,0.24731182795698925,0.02912621359223301,0.16842105263157894,0.0,0.0,0.045454545454545456,0.0,0.5567010309278351,0.0,0.009433962264150943,0.1188118811881188,0.5520833333333334,0.21839080459770116,0.14150943396226415,0.038834951456310676,0.42990654205607476,0.3465346534653465,0.40404040404040403,0.0,0.0,0.1348314606741573,0.0,0.010309278350515464,0.0,0.0,0.34831460674157305,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.024691358024691357
14,0.3523809523809524,0.7340425531914894,0.7238095238095238,0.5,0.6261682242990654,0.4700854700854701,0.0,0.0,0.0,0.22018348623853212,0.0,0.1348314606741573,0.0,0.0,0.4945054945054945,0.0,0.0,0.0,0.0,0.14423076923076922,0.0,0.0,0.0,0.12149532710280374,0.022988505747126436,0.0,0.04854368932038835,0.0,0.0,0.7682926829268293,0.08602150537634409,0.041237113402061855,0.0,0.0759493670886076,0.0,0.0,0.44,0.0,0.0,0.010309278350515464,0.0,0.14473684210526316,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.12371134020618557,0.0,0.017241379310344827,0.16071428571428573,0.0,0.0,1.0,0.017699115044247787,0.3170731707317073,0.0,0.6637168141592921,0.4270833333333333,0.38392857142857145,0.5306122448979592,0.0,0.0,0.5795454545454546,0.0,0.0,0.0,0.0,0.7909090909090909,0.0,0.0,0.09375,0.06481481481481481,0.7916666666666666,0.009900990099009901,0.0,0.0,0.75,0.49523809523809526,0.4117647058823529,0.759493670886076,0.009708737864077669,0.0,0.04672897196261682,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.7478260869565218,0.8303571428571429,0.735632183908046,0.42424242424242425,0.9230769230769231,0.452991452991453,0.0,0.0,0.0,0.8235294117647058,0.0,0.09278350515463918,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.29591836734693877,0.010526315789473684,0.0,0.0,0.018518518518518517,0.12643678160919541,0.0,0.0,0.02197802197802198,0.0,0.09482758620689655,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07526881720430108,0.011363636363636364,0.0,0.0,0.0,0.0,1.0,0.1,0.17,0.0,0.44954128440366975,0.27,0.23595505617977527,0.039473684210526314,0.03,0.7166666666666667,0.29347826086956524,0.38596491228070173,0.0,0.1650485436893204,0.0,0.7289719626168224,0.0,0.0,0.3333333333333333,0.011363636363636364,0.7052631578947368,0.028846153846153848,0.7011494252873564,0.0,0.8210526315789474,0.3142857142857143,0.0,0.1326530612244898,0.15151515151515152,0.0,0.33858267716535434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0
16,0.11764705882352941,0.7904761904761904,0.5108695652173914,0.5053763440860215,0.6161616161616161,0.29411764705882354,0.0,0.0,0.0,0.6444444444444445,0.0,0.2777777777777778,0.0,0.0,0.10752688172043011,0.0,0.0,0.016666666666666666,0.0,0.4421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0660377358490566,0.08247422680412371,0.0,0.45652173913043476,0.35714285714285715,0.0,0.0,0.0,0.7549019607843137,0.36633663366336633,0.0,0.7909090909090909,0.6363636363636364,0.01020408163265306,0.7653061224489796,0.125,0.0,0.009523809523809525,0.0,0.17391304347826086,0.0,0.10416666666666667,0.0,0.0,0.1134020618556701,0.0,0.13559322033898305,0.0,0.0,0.9634146341463414,0.0,0.2903225806451613,0.0,0.125,0.5641025641025641,0.018867924528301886,0.0,0.0,0.043010752688172046,0.3225806451612903,0.0,0.3125,0.4247787610619469,0.0,0.3333333333333333,0.009345794392523364,0.0,0.1504424778761062,0.0,0.1509433962264151,0.0,0.16494845360824742,0.0,0.08695652173913043,0.15463917525773196,0.0,0.3163265306122449,0.0,0.0,0.8446601941747572,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.0,0.0,0.019417475728155338,0.09183673469387756
17,0.010752688172043012,0.7647058823529411,0.6785714285714286,0.5353535353535354,0.6435643564356436,0.3786407766990291,0.0,0.0,0.0,0.8387096774193549,0.0,0.15942028985507245,0.0,0.0,0.7321428571428571,0.020618556701030927,0.0,0.06481481481481481,0.0,0.6382978723404256,0.0967741935483871,0.0,0.0,0.020618556701030927,0.0,0.0,0.3418803418803419,0.0,0.0,0.6320754716981132,0.0,0.0,0.0,0.0,0.04597701149425287,0.025974025974025976,0.1485148514851485,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.009900990099009901,0.04054054054054054,0.0,0.009615384615384616,0.043478260869565216,0.0,0.0,0.00980392156862745,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.037037037037037035,1.0,0.0,0.11214953271028037,0.0,0.024691358024691357,0.49557522123893805,0.0,0.0,0.0,0.0,0.6320754716981132,0.0,0.0,0.0,0.26785714285714285,0.8285714285714286,0.6704545454545454,0.011363636363636364,0.6415094339622641,0.0,0.5858585858585859,0.39215686274509803,0.13274336283185842,0.0,0.8854166666666666,0.34,0.17647058823529413,0.35135135135135137,0.2235294117647059,0.7951807228915663,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325
18,0.5855855855855856,0.77,0.6697247706422018,0.5,0.49122807017543857,0.449438202247191,0.0,0.0,0.0,0.26495726495726496,0.0,0.29523809523809524,0.0,0.10752688172043011,0.44047619047619047,0.04081632653061224,0.0,0.0,0.0,0.07526881720430108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8620689655172413,0.019417475728155338,0.0,0.0,0.0,0.6702127659574468,0.14814814814814814,0.09195402298850575,0.0,0.045871559633027525,0.8020833333333334,0.0,0.0,0.0,0.6666666666666666,0.7326732673267327,0.05504587155963303,0.07547169811320754,0.6037735849056604,0.0,0.3739130434782609,0.0,0.019801980198019802,0.23404255319148937,0.46153846153846156,0.27358490566037735,0.0,0.8173913043478261,0.023809523809523808,0.15217391304347827,0.7450980392156863,0.011627906976744186,0.022988505747126436,0.0,0.10869565217391304,0.07954545454545454,0.028037383177570093,0.0,0.0,0.0,0.053763440860215055,0.0,0.0,0.0,0.5742574257425742,0.11764705882352941,0.1595744680851064,0.023809523809523808,0.06818181818181818,0.010309278350515464,0.16363636363636364,0.0,0.0,0.08823529411764706,0.12987012987012986,0.09900990099009901,0.0,0.2755102040816326,0.0,0.40816326530612246,0.8888888888888888,0.0,0.0,0.016260162601626018,0.0,0.008771929824561403,0.12389380530973451,0.008403361344537815,0.0,0.028846153846153848,0.2696629213483146
19,0.14583333333333334,0.8947368421052632,0.8018867924528302,0.6203703703703703,0.5212765957446809,0.3917525773195876,0.0,0.13402061855670103,0.0,0.41237113402061853,0.0,0.24545454545454545,0.0,0.0,0.810126582278481,0.0,0.0,0.14606741573033707,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.030303030303030304,0.0,0.0,0.04,0.0,0.9222222222222223,0.010638297872340425,0.5377358490566038,0.0,0.0,0.01,0.11009174311926606,0.26785714285714285,0.14423076923076922,0.21904761904761905,0.6476190476190476,0.02,0.0,0.0,0.03409090909090909,0.22916666666666666,0.0,0.0,0.3333333333333333,0.0,0.38,0.0,0.0,0.0,0.05504587155963303,0.3761467889908257,0.0,0.0,0.0,0.010101010101010102,0.9895833333333334,0.0,0.35789473684210527,0.0,0.0,0.0,0.0,0.3684210526315789,0.44329896907216493,0.4270833333333333,0.3302752293577982,0.011235955056179775,0.0,0.0,0.19047619047619047,0.5588235294117647,0.0196078431372549,0.009345794392523364,0.6470588235294118,0.0,0.5894736842105263,0.24719101123595505,0.0,0.0,0.7307692307692307,0.6036036036036037,0.05102040816326531,0.0,0.02247191011235955,0.5607476635514018,0.5555555555555556,0.0,0.0,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.13725490196078433,0.02040816326530612
20,0.584070796460177,0.7798165137614679,0.6116504854368932,0.47619047619047616,0.8773584905660378,0.34951456310679613,0.0,0.049019607843137254,0.0,0.5681818181818182,0.0,0.6262626262626263,0.0,0.0,0.9381443298969072,0.01818181818181818,0.0,0.17894736842105263,0.0,0.7951807228915663,0.0,0.0891089108910891,0.0,0.0,0.12658227848101267,0.0,0.0,0.0,0.0,0.9174311926605505,0.0,0.0,0.0,0.0,0.29591836734693877,0.0784313725490196,0.46464646464646464,0.16326530612244897,0.0,0.32432432432432434,0.0,0.05660377358490566,0.0,0.0,0.25510204081632654,0.07954545454545454,0.0,0.1320754716981132,0.0,0.3522727272727273,0.011363636363636364,0.5189873417721519,0.0,0.0,0.04424778761061947,0.0,0.0,0.0,0.0,0.98,0.0,0.02247191011235955,0.14285714285714285,0.14035087719298245,0.24786324786324787,0.1326530612244898,0.16666666666666666,0.10416666666666667,0.18811881188118812,0.26605504587155965,0.0,0.4076923076923077,0.0,0.01020408163265306,0.4380952380952381,0.31868131868131866,0.0,0.5274725274725275,0.0,0.2457627118644068,0.5728155339805825,0.696078431372549,0.04504504504504504,0.11504424778761062,0.03636363636363636,0.0,0.0,0.056818181818181816,0.5238095238095238,0.7653061224489796,0.0,0.0,0.05319148936170213,0.0,0.0,0.019230769230769232,0.0,0.0,0.023255813953488372,0.24358974358974358
